"P37ST","S15","S16","S17","S14","S28D","P49ST.A","P49ST.B","P49ST.E","P76ST","P10ST","P4ST","S1NICC7","P6ST","P12ST","P13ST","IDENPA"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",61,"Media","Sí","5","7","5","NS/NR","Está en retroceso","Mucho peor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",80,"Media","No","4","7","6","5","Está estancado","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",32,"Media","Sí","6","4","5","7","Está progresando","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",33,"Media baja","No","5","3","NS/NR","7","Está progresando","Igual","Mucho","Buena","Injusta","NS/NR","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",33,"Media baja","No","6","8","8","6","Está estancado","Un poco peor","Poco","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",74,"Media","No","8","NS/NR","NS/NR","8","Está estancado","Igual","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Soltero","Femenino",26,"Media baja","No","6","7","7","NS/NR","Está progresando","Un poco peor","Poco","Buena","Muy injusta","NS/NR","Brazil"
"La política es tan complicada que no se entiende","Soltero","Femenino",24,"Media baja","No","6","6","6","5","Está en retroceso","Igual","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",34,"Media","No","10 Totalmente democrático","9","10 Totalmente democrático","8","NS/NR","Igual","Mucho","Regular","Muy injusta","NS/NR","Colombia"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",62,"Media","No","8","8","8","5","Está progresando","Un poco mejor","Poco","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",49,"Media","Sí","2","01 No es democrático","7","4","Está en retroceso","Igual","Poco","Regular","NS/NR","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",62,"Media","Sí","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","7","Está progresando","Mucho mejor","Bastante","Muy buena","Muy justa","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",71,"Media","Sí","10 Totalmente democrático","10 Totalmente democrático","5","5","Está en retroceso","Igual","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Venezuela"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",45,"Baja","No","9","9","8","NS/NR","Está progresando","Mucho mejor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",25,"Media","No","4","10 Totalmente democrático","10 Totalmente democrático","5","Está estancado","Igual","Poco","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",39,"Media","No","5","4","8","NS/NR","Está progresando","Un poco peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",39,"Baja","No","7","NS/NR","NS/NR","4","Está progresando","Igual","Bastante","Mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política no es tan complicada y se entiende","Soltero","Femenino",18,"Media alta","Sí","6","5","5","5","Está estancado","Igual","Poco","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Bolivia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",50,"Baja","No","8","7","7","NS/NR","Está estancado","Igual","Bastante","Regular","Injusta","NS/NR","Brazil"
"La política no es tan complicada y se entiende","Soltero","Femenino",25,"Media","Sí","5","NS/NR","NS/NR","3","Está progresando","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",59,"Media baja","No","4","3","3","5","Está en retroceso","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Soltero","Femenino",46,"Media baja","Sí","5","8","5","NS/NR","Está en retroceso","Un poco peor","Poco","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",32,"Baja","No","8","4","6","3","Está estancado","Igual","Poco","Mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",47,"Baja","Sí","8","10 Totalmente democrático","8","8","Está en retroceso","Un poco peor","Mucho","Mala","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"La política no es tan complicada y se entiende","Soltero","Masculino",21,"Media","Sí","9","10 Totalmente democrático","8","7","Está en retroceso","Un poco mejor","Poco","Buena","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Brazil"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",73,"Media","No","6","8","5","5","Está progresando","Igual","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política es tan complicada que no se entiende","Soltero","Femenino",24,"Media","Sí","7","8","8","NS/NR","Está progresando","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",40,"Media","NS/NR","5","6","8","NS/NR","Está en retroceso","Un poco mejor","Mucho","Buena","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Bolivia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",33,"Media","Sí","6","7","5","7","Está estancado","Igual","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",46,"Media baja","Sí","5","3","6","NS/NR","Está estancado","Igual","NS/NR","Mala","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Ecuador"
"La política no es tan complicada y se entiende","Soltero","Masculino",21,"Media baja","Sí","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","5","Está progresando","Igual","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Soltero","Femenino",40,"Media","No","6","7","5","7","Está progresando","Igual","Poco","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",45,"Baja","Sí","5","NS/NR","NS/NR","5","Está estancado","Un poco mejor","Mucho","Regular","Injusta","NS/NR","Uruguay"
"La política no es tan complicada y se entiende","Soltero","Femenino",20,"Media","Sí","5","7","7","5","Está progresando","Un poco mejor","Mucho","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",39,"Media","Sí","3","8","9","5","Está estancado","Igual","Bastante","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",33,"Media","No","8","8","8","2","Está progresando","Un poco mejor","Nada","Muy buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",31,"Baja","Sí","10 Totalmente democrático","7","01 No es democrático","8","Está progresando","Igual","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Brazil"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",41,"Baja","No","6","NS/NR","NS/NR","NS/NR","Está estancado","Igual","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Brazil"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",33,"Media","No","4","6","NS/NR","NS/NR","Está estancado","Un poco mejor","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",48,"Media","Sí","6","9","10 Totalmente democrático","NS/NR","Está progresando","Un poco mejor","Bastante","Buena","NS/NR","NS/NR","Paraguay"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",32,"Media baja","No","8","7","NS/NR","2","Está progresando","Un poco mejor","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",69,"Media","No","3","4","4","NS/NR","Está estancado","Un poco peor","Mucho","Mala","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"La política no es tan complicada y se entiende","Soltero","Masculino",34,"Media alta","Sí","5","7","6","6","Está estancado","Un poco mejor","Poco","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",30,"Media baja","No","5","7","7","5","Está en retroceso","Un poco peor","Bastante","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",23,"Media","No","7","9","9","6","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",57,"Media","Sí","4","8","6","6","Está en retroceso","Igual","Poco","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",59,"Media baja","Sí","5","NS/NR","NS/NR","NS/NR","Está progresando","Un poco mejor","Mucho","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",59,"Media","Sí","6","9","8","3","Está progresando","Un poco peor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
